Project Name,Package Name,Architecture Smell,Cause of the Smell
akarnokd-misc,hu.akarnokd.enumerables,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 32
akarnokd-misc,hu.akarnokd.reactor,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [StreamRemainingTest]; [SchedulerLeak]; [Reactor2Test]; [MonoTimeoutTest]; [FilterWhenTest]; [DoOnSubscribeTest]; [GroupParallel]; [TestLazy]; [BufferWhenTest]; [BufferWhenTest.Wrapper]; [RxReactorInteropTest]; [DelayedBuffer]; [BufferUntilTest]; [SchedulerLeakRx]; [FluxMergeTest]; [PickNextIndexed]; [BackpressureProblem]; [FlatMapMonoVoid]. LCC (Lack of Component Cohesion) = 1.0
akarnokd-misc,hu.akarnokd.fallout76,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [EnemyCurveTableListing; Ba2FileEntry; EsmExport; TesStringsData; DataInputByteBuffer; Ba2File; WeaponCurveTableListing]; [Ba2FileCreator]; [EsmExport.FieldEntry]; [Fallout76LootGenerator]. LCC (Lack of Component Cohesion) = 0.4
akarnokd-misc,hu.akarnokd.misc,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 64
akarnokd-misc,hu.akarnokd.misc,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AllCombinations]; [ScannerClose2]; [SmallJPEG]; [Button45]; [Finput]; [RecordVarargs]; [Scaledown]; [PrimeCounter]; [ImgRotate]; [DigitSwapper]; [Scansort]; [OpenFromDesktop]; [SimpleDateAdd]; [LongestEventSub]; [ProcessCommands]; [BoxOColor]; [BoxOColor.Board]; [BoxOColor.Game]; [ExpandKeysInMap]; [SortySort]; [Interfaceoverride]; [Interfaceoverride.A]; [Interfaceoverride.B; A; InterfacesC.B]; [ExclusionForwardBack]; [Lead]; [Bug20216]; [MonoAppended]; [HasAllLetters]; [InterfacesC]; [InterfacesC.A]; [InterfacesC.M]; [InterfacesC.Abstract]; [BubblyVowels]; [UseSiteTypeAnnot]; [ParallelPrinter]; [ParallelPrinter.Print]; [TaxiCount]; [CP037]; [C; C.Klass]; [C.InferenceError]; [Parking]; [LoopIncr]; [Rotator]; [ParallelCalc]; [SplitNKeep]; [Recolor]; [ScannerNext]; [LastCreatedDir]; [ParallelSum]; [UserHome]; [A.C]; [A.O]; [A.D]; [A.E]; [FoBar]; [FoBar.Foo]; [FoBar.Foo2]; [FoBar.Bar]; [FoBar.BarImpl]; [MayBy]; [BrInExtraNewLine]. LCC (Lack of Component Cohesion) = 0.95
akarnokd-misc,hu.akarnokd.theplanetcrafter,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DropProbabilityCalc]; [FileToByteArrayText]; [CleanupCS]; [FusionReactorFix]; [LarvaeMap]; [BuildMap]; [LIIDRegen]; [PositionEchoClient]; [PositionEchoHost]. LCC (Lack of Component Cohesion) = 1.0
akarnokd-misc,hu.akarnokd.reactive.comparison.rx2,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BlockingPerf]; [SubscribePerf]; [MemoryPerf]; [MemoryPerf.MyRx2Subscriber]; [MemoryPerf.MyRx2Observer]; [AsyncPerf]; [SubjectPerf]; [StreamingPerf]. LCC (Lack of Component Cohesion) = 1.0
akarnokd-misc,hu.akarnokd.reactive.comparison.consumers,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [PerfRxAsyncSingleSubscriber]; [PerfConsumer]; [PerfAsyncConsumer]; [PerfRxSingleSubscriber]; [PerfRxSubscriber]; [PerfRxAsyncSubscriber]. LCC (Lack of Component Cohesion) = 1.0
akarnokd-misc,hu.akarnokd.reactive.comparison.rx1,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BlockingPerf]; [SubscribePerf]; [MemoryPerf]; [MemoryPerf.MyRxSubscriber]; [AsyncPerf]; [SubjectPerf]; [StreamingPerf]. LCC (Lack of Component Cohesion) = 1.0
akarnokd-misc,hu.akarnokd.reactive.comparison.reactor,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BlockingPerf]; [SubscribePerf]; [MemoryPerf]; [MemoryPerf.MyReactorSubscriber]; [AsyncPerf]; [SubjectPerf]; [StreamingPerf]. LCC (Lack of Component Cohesion) = 1.0
akarnokd-misc,hu.akarnokd.comparison,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [OnesTypesFlatMapPerf]; [IterableSpliterator]; [LatchedRSObserver; ZipPerf]; [MonoThenFlatMap]; [Util]; [ZeroOnePerf]; [ZeroOnePerf.WeakGet]; [PublisherFlatMapPerf]; [PublisherFlatMapPerf.Regular]; [PublisherFlatMapPerf.CrossRange]; [ObservableFlatMapPerf]; [ObservableFlatMapPerf.Regular]; [ObservableFlatMapPerf.CrossRange]; [AkkaStreamsFlatMapPerf]; [AkkaStreamsFlatMapPerf.LatchedSubscriber]; [AkkaStreamsCrossMapPerf]; [LatchedObserver]; [CharsTakeSkipConcatPerf]; [LogSumPerf]; [StreamVsRxJava]; [OnesTypesFlatMap2Perf]; [FlattenCrossMapPerf]; [ParallelPerf]; [AkkaStreamsReactorCrossMapPerf]; [SingleFlatMapIterablePerf]; [FluentIterables]; [MaterializationBenchmarkFanInOutPerf]. LCC (Lack of Component Cohesion) = 0.96
akarnokd-misc,hu.akarnokd.comparison.scrabble,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 55
