Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
akarnokd-misc,hu.akarnokd.rxjava3,FlatMapLatest,someTest,Magic Number,The method contains a magic number: 1000,12
akarnokd-misc,hu.akarnokd.rxjava3,MarblesAddBackground,main,Magic Number,The method contains a magic number: 0xFF000000,11
akarnokd-misc,hu.akarnokd.rxjava3,MarblesAddBackground,main,Magic Number,The method contains a magic number: 0xFF000000,11
akarnokd-misc,hu.akarnokd.rxjava3,SomeCombine,main,Long Statement,The length of the statement "Single<List<Item>> remoteListSource=Single.just(List.of(new Item(0`false`false)`new Item(1`false`false)`new Item(2`false`true)`new Item(3`true`false)`new Item(4`true`false)));" is 175.,9
akarnokd-misc,hu.akarnokd.rxjava3,SomeCombine,main,Long Statement,The length of the statement "Single<List<Item>> localListSource=Single.just(List.of(new Item(0`false`false)`new Item(1`true`false)`new Item(2`false`false)`new Item(3`false`false)));" is 152.,9
akarnokd-misc,hu.akarnokd.rxjava3,SomeCombine,main,Magic Number,The method contains a magic number: 2,9
akarnokd-misc,hu.akarnokd.rxjava3,SomeCombine,main,Magic Number,The method contains a magic number: 3,9
akarnokd-misc,hu.akarnokd.rxjava3,SomeCombine,main,Magic Number,The method contains a magic number: 4,9
akarnokd-misc,hu.akarnokd.rxjava3,SomeCombine,main,Magic Number,The method contains a magic number: 2,9
akarnokd-misc,hu.akarnokd.rxjava3,SomeCombine,main,Magic Number,The method contains a magic number: 3,9
akarnokd-misc,hu.akarnokd.rxjava3,OnErrorResumeNextInSequence,main,Long Statement,The length of the statement "sources.add(Observable.<Integer>error(new Exception("" + i)).doOnSubscribe(d -> System.out.println("Subscribed: " + j)));" is 121.,12
akarnokd-misc,hu.akarnokd.rxjava3,OnErrorResumeNextInSequence,main,Magic Number,The method contains a magic number: 10,12
akarnokd-misc,hu.akarnokd.rxjava3,OnErrorResumeNextInSequence,main,Magic Number,The method contains a magic number: 5,12
akarnokd-misc,hu.akarnokd.rxjava3,OnErrorResumeNextInSequence,main,Magic Number,The method contains a magic number: 5,12
akarnokd-misc,hu.akarnokd.rxjava3,UsingWhen,usingWhen,Long Statement,The length of the statement "return Maybe.fromPublisher(resource).flatMapPublisher(res -> Flowable.using(() -> res`use`resc -> Flowable.fromPublisher(cleanup.apply(resc)).subscribe()`false));" is 162.,28
akarnokd-misc,hu.akarnokd.rxjava3,UsingWhen,usingWhen,Long Statement,The length of the statement "return Maybe.fromPublisher(params.resource).flatMapPublisher(res -> Flowable.fromPublisher(use.apply(res)).flatMap(v -> Flowable.just(v)`e -> Flowable.fromPublisher(params.onError.apply(res)).ignoreElements().toFlowable()`() -> Flowable.fromPublisher(params.onComplete.apply(res)).ignoreElements().toFlowable()).doOnCancel(() -> Flowable.fromPublisher(params.onCancel.apply(res)).subscribe()));" is 394.,46
akarnokd-misc,hu.akarnokd.rxjava3,ConcatGroupTest,main,Long Statement,The length of the statement "values.groupBy(e -> e.departmentId).flatMapSingle(v -> v.toList()).concatMapIterable(v -> v).subscribe(System.out::println);" is 124.,29
akarnokd-misc,hu.akarnokd.rxjava3,ConcatGroupTest,main,Magic Number,The method contains a magic number: 10,29
akarnokd-misc,hu.akarnokd.rxjava3,ConcatGroupTest,main,Magic Number,The method contains a magic number: 5,29
akarnokd-misc,hu.akarnokd.rxjava3,ShareExample,main,Magic Number,The method contains a magic number: 2,8
akarnokd-misc,hu.akarnokd.rxjava2,Timeout800Test,test,Magic Number,The method contains a magic number: 1000,12
akarnokd-misc,hu.akarnokd.rxjava2,Timeout800Test,test,Magic Number,The method contains a magic number: 800,12
akarnokd-misc,hu.akarnokd.rxjava2,Timeout800Test,test,Magic Number,The method contains a magic number: 800,12
akarnokd-misc,hu.akarnokd.rxjava2,Timeout800Test,test,Magic Number,The method contains a magic number: 2,12
akarnokd-misc,hu.akarnokd.rxjava2,Timeout800Test,test,Magic Number,The method contains a magic number: 2000,12
akarnokd-misc,hu.akarnokd.rxjava2,FlatMapIterableSharedTest,test,Long Statement,The length of the statement "Flowable.just(Ix.range(0`300)`Ix.range(0`300)).flatMapIterable(x -> x).doOnNext(System.out::println).share().share().count().doOnEvent((a`b) -> {" is 145.,10
akarnokd-misc,hu.akarnokd.rxjava2,FlatMapIterableSharedTest,test,Magic Number,The method contains a magic number: 300,10
akarnokd-misc,hu.akarnokd.rxjava2,FlatMapIterableSharedTest,test,Magic Number,The method contains a magic number: 300,10
akarnokd-misc,hu.akarnokd.rxjava2,FlatMapIterableSharedTest,test,Magic Number,The method contains a magic number: 600L,10
akarnokd-misc,hu.akarnokd.rxjava2,FlatMapIterableSharedTest,test2,Long Statement,The length of the statement "Flowable.just(Ix.range(0`600)).flatMapIterable(x -> x).doOnNext(System.out::println).share().share().count().doOnEvent((a`b) -> {" is 129.,29
akarnokd-misc,hu.akarnokd.rxjava2,FlatMapIterableSharedTest,test2,Magic Number,The method contains a magic number: 600,29
akarnokd-misc,hu.akarnokd.rxjava2,FlatMapIterableSharedTest,test2,Magic Number,The method contains a magic number: 600L,29
akarnokd-misc,hu.akarnokd.rxjava2,SubjectRaceTest,subscribeToSubject,Long Statement,The length of the statement "io.reactivex.Observable.range(1`10).subscribeOn(Schedulers.newThread()).subscribe(value -> getAndObserve(valueToObserve).subscribe(observedValue -> System.out.println(" Value Received " + observedValue + " By "+ Thread.currentThread())));" is 238.,29
akarnokd-misc,hu.akarnokd.rxjava2,SubjectRaceTest,subscribeToSubject,Magic Number,The method contains a magic number: 10,29
akarnokd-misc,hu.akarnokd.rxjava2,SubjectRaceTest,getAndObserve,Long Statement,The length of the statement "final io.reactivex.Observable<String> observable=singlePropertyUpdateSubject.filter(v -> v.equals(value)).doOnSubscribe(c -> System.out.println("Consumer subscribed " + c));" is 173.,40
akarnokd-misc,hu.akarnokd.rxjava2,SubjectRaceTest,sendEvents,Long Statement,The length of the statement "io.reactivex.Observable.interval(1`TimeUnit.MILLISECONDS).takeUntil((Predicate<Long>)(key) -> key.toString().equals(valueToObserve)).subscribe(value -> {" is 153.,50
akarnokd-misc,hu.akarnokd.rxjava2,SubjectRaceTest,sendEvents,Magic Number,The method contains a magic number: 1998,50
akarnokd-misc,hu.akarnokd.rxjava2,SubjectRaceTest,sendEvents,Magic Number,The method contains a magic number: 100,50
akarnokd-misc,hu.akarnokd.rxjava2,FlatMapCompletableThread,test,Magic Number,The method contains a magic number: 1000,14
akarnokd-misc,hu.akarnokd.rxjava2,PublishRefCountPublishTest,test,Long Statement,The length of the statement "Flowable.range(1`10).doOnCancel(() -> calls[0]++).publish().refCount().publish(v -> v).take(5).test().assertResult(1`2`3`4`5);" is 126.,11
akarnokd-misc,hu.akarnokd.rxjava2,PublishRefCountPublishTest,test,Magic Number,The method contains a magic number: 10,11
akarnokd-misc,hu.akarnokd.rxjava2,PublishRefCountPublishTest,test,Magic Number,The method contains a magic number: 5,11
akarnokd-misc,hu.akarnokd.rxjava2,PublishRefCountPublishTest,test,Magic Number,The method contains a magic number: 2,11
akarnokd-misc,hu.akarnokd.rxjava2,PublishRefCountPublishTest,test,Magic Number,The method contains a magic number: 3,11
akarnokd-misc,hu.akarnokd.rxjava2,PublishRefCountPublishTest,test,Magic Number,The method contains a magic number: 4,11
akarnokd-misc,hu.akarnokd.rxjava2,PublishRefCountPublishTest,test,Magic Number,The method contains a magic number: 5,11
akarnokd-misc,hu.akarnokd.rxjava2,PublishRefCountPublishTest,test2,Long Statement,The length of the statement "Flux.range(1`10).doOnCancel(() -> calls[0]++).publish().refCount().publish(v -> v).take(5).subscribeWith(new TestSubscriber<Integer>()).assertResult(1`2`3`4`5);" is 160.,27
akarnokd-misc,hu.akarnokd.rxjava2,PublishRefCountPublishTest,test2,Magic Number,The method contains a magic number: 10,27
akarnokd-misc,hu.akarnokd.rxjava2,PublishRefCountPublishTest,test2,Magic Number,The method contains a magic number: 5,27
akarnokd-misc,hu.akarnokd.rxjava2,PublishRefCountPublishTest,test2,Magic Number,The method contains a magic number: 2,27
akarnokd-misc,hu.akarnokd.rxjava2,PublishRefCountPublishTest,test2,Magic Number,The method contains a magic number: 3,27
akarnokd-misc,hu.akarnokd.rxjava2,PublishRefCountPublishTest,test2,Magic Number,The method contains a magic number: 4,27
akarnokd-misc,hu.akarnokd.rxjava2,PublishRefCountPublishTest,test2,Magic Number,The method contains a magic number: 5,27
akarnokd-misc,hu.akarnokd.rxjava2,BasicPrint2,main,Long Statement,The length of the statement "Observable.interval(10`TimeUnit.MILLISECONDS).doOnNext(System.out::println).observeOn(Schedulers.computation()`false`10).subscribe(new Subscriber<Long>(){" is 154.,10
akarnokd-misc,hu.akarnokd.rxjava2,BasicPrint2,main,Magic Number,The method contains a magic number: 10,10
akarnokd-misc,hu.akarnokd.rxjava2,BasicPrint2,main,Magic Number,The method contains a magic number: 10,10
akarnokd-misc,hu.akarnokd.rxjava2,BasicPrint2,main,Magic Number,The method contains a magic number: 30,10
akarnokd-misc,hu.akarnokd.rxjava2,BasicPrint2,main,Magic Number,The method contains a magic number: 100000,10
akarnokd-misc,hu.akarnokd.rxjava2,BasicPrint2,onNext,Magic Number,The method contains a magic number: 30,21
akarnokd-misc,hu.akarnokd.rxjava2,RefCountTrackingTest,test,Magic Number,The method contains a magic number: 2,12
akarnokd-misc,hu.akarnokd.rxjava2,RefCountTrackingTest,test,Magic Number,The method contains a magic number: 3,12
akarnokd-misc,hu.akarnokd.rxjava2,RefCountTrackingTest,test,Magic Number,The method contains a magic number: 4,12
akarnokd-misc,hu.akarnokd.rxjava2,RetryWhenTest,test,Magic Number,The method contains a magic number: 2,15
akarnokd-misc,hu.akarnokd.rxjava2,RetryWhenTest,test,Magic Number,The method contains a magic number: 1000,15
akarnokd-misc,hu.akarnokd.rxjava2,RetryWhenTest,apply,Magic Number,The method contains a magic number: 2,41
akarnokd-misc,hu.akarnokd.rxjava2,RetryWhenTest,test,Magic Number,The method contains a magic number: 2,46
akarnokd-misc,hu.akarnokd.rxjava2,ErrorRemap,test,Long Statement,The length of the statement "Observable.error(new IOException()).onErrorResumeNext(( Throwable e) -> Observable.error(new IllegalArgumentException())).test().assertFailure(IllegalArgumentException.class);" is 175.,11
akarnokd-misc,hu.akarnokd.rxjava2,RefCountRace,replayRefCountShallBeThreadSafe,Magic Number,The method contains a magic number: 10000,12
akarnokd-misc,hu.akarnokd.rxjava2,RefCountRace,replayRefCountShallBeThreadSafe,Magic Number,The method contains a magic number: 5,12
akarnokd-misc,hu.akarnokd.rxjava2,RefCountRace,replayRefCountShallBeThreadSafe,Magic Number,The method contains a magic number: 5,12
akarnokd-misc,hu.akarnokd.rxjava2,SomeSharedFlow,test,Long Statement,The length of the statement "Flowable<Long> flowable=Flowable.interval(1`TimeUnit.MILLISECONDS).onBackpressureLatest().take(10_000).observeOn(s1).map(v -> {" is 127.,12
akarnokd-misc,hu.akarnokd.rxjava2,SomeSharedFlow,test,Long Statement,The length of the statement "flowable.observeOn(s2).doOnNext(v -> Thread.sleep(10)).subscribe(v -> System.out.println(v + " " + Thread.currentThread().getName())`Throwable::printStackTrace);" is 161.,12
akarnokd-misc,hu.akarnokd.rxjava2,SomeSharedFlow,test,Magic Number,The method contains a magic number: 10_000,12
akarnokd-misc,hu.akarnokd.rxjava2,SomeSharedFlow,test,Magic Number,The method contains a magic number: 10,12
akarnokd-misc,hu.akarnokd.rxjava2,SomeSharedFlow,test,Magic Number,The method contains a magic number: 10000,12
akarnokd-misc,hu.akarnokd.rxjava2,ConcatMapDelayTest,publisherOfPublisherDelayErrorX,Long Statement,The length of the statement "Flowable.concatDelayError(Flowable.just(Flowable.just(1`2)`Flowable.error(new Exception("test"))`Flowable.just(3`4))).test().assertFailure(Exception.class`1`2`3`4);" is 164.,8
akarnokd-misc,hu.akarnokd.rxjava2,ConcatMapDelayTest,publisherOfPublisherDelayErrorX,Magic Number,The method contains a magic number: 2,8
akarnokd-misc,hu.akarnokd.rxjava2,ConcatMapDelayTest,publisherOfPublisherDelayErrorX,Magic Number,The method contains a magic number: 3,8
akarnokd-misc,hu.akarnokd.rxjava2,ConcatMapDelayTest,publisherOfPublisherDelayErrorX,Magic Number,The method contains a magic number: 4,8
akarnokd-misc,hu.akarnokd.rxjava2,ConcatMapDelayTest,publisherOfPublisherDelayErrorX,Magic Number,The method contains a magic number: 2,8
akarnokd-misc,hu.akarnokd.rxjava2,ConcatMapDelayTest,publisherOfPublisherDelayErrorX,Magic Number,The method contains a magic number: 3,8
akarnokd-misc,hu.akarnokd.rxjava2,ConcatMapDelayTest,publisherOfPublisherDelayErrorX,Magic Number,The method contains a magic number: 4,8
akarnokd-misc,hu.akarnokd.rxjava2,ConcatMapDelayTest,publisherOfPublisherDelayErrorX2,Long Statement,The length of the statement "Observable.concatDelayError(Observable.just(Observable.just(1`2)`Observable.error(new Exception("test"))`Observable.just(3`4))).test().assertFailure(Exception.class`1`2`3`4);" is 174.,19
akarnokd-misc,hu.akarnokd.rxjava2,ConcatMapDelayTest,publisherOfPublisherDelayErrorX2,Magic Number,The method contains a magic number: 2,19
akarnokd-misc,hu.akarnokd.rxjava2,ConcatMapDelayTest,publisherOfPublisherDelayErrorX2,Magic Number,The method contains a magic number: 3,19
akarnokd-misc,hu.akarnokd.rxjava2,ConcatMapDelayTest,publisherOfPublisherDelayErrorX2,Magic Number,The method contains a magic number: 4,19
akarnokd-misc,hu.akarnokd.rxjava2,ConcatMapDelayTest,publisherOfPublisherDelayErrorX2,Magic Number,The method contains a magic number: 2,19
akarnokd-misc,hu.akarnokd.rxjava2,ConcatMapDelayTest,publisherOfPublisherDelayErrorX2,Magic Number,The method contains a magic number: 3,19
akarnokd-misc,hu.akarnokd.rxjava2,ConcatMapDelayTest,publisherOfPublisherDelayErrorX2,Magic Number,The method contains a magic number: 4,19
akarnokd-misc,hu.akarnokd.rxjava2,ZipCrash,testUncaughtException,Magic Number,The method contains a magic number: 2000,13
akarnokd-misc,hu.akarnokd.rxjava2,ZipCrash,testUncaughtExceptionWithFlatMap,Long Statement,The length of the statement "Observable<Object> testObservable=Observable.create(e -> e.onNext("")).flatMap((Function<Object`ObservableSource<?>>)o -> {" is 123.,40
akarnokd-misc,hu.akarnokd.rxjava2,ZipCrash,testUncaughtExceptionWithFlatMap,Magic Number,The method contains a magic number: 2000,40
akarnokd-misc,hu.akarnokd.rxjava2,ParallelFileProcessing,test,Long Statement,The length of the statement "Flowable.<Path`Stream<Path>>using(() -> Files.list(Paths.get("/my/dir/with/files"))`files -> Flowable.fromIterable((Iterable<Path>)() -> files.iterator())`AutoCloseable::close).parallel(2).runOn(Schedulers.computation()).filter(Files::isRegularFile);" is 250.,13
akarnokd-misc,hu.akarnokd.rxjava2,ParallelFileProcessing,test,Magic Number,The method contains a magic number: 2,13
akarnokd-misc,hu.akarnokd.rxjava2,FlowableStringInputStreamTest,simple,Magic Number,The method contains a magic number: 4,21
akarnokd-misc,hu.akarnokd.rxjava2,FlowableStringInputStreamTest,simple,Magic Number,The method contains a magic number: 3,21
akarnokd-misc,hu.akarnokd.rxjava2,FlowableStringInputStreamTest,simple,Magic Number,The method contains a magic number: 2,21
akarnokd-misc,hu.akarnokd.rxjava2,FlowableStringInputStreamTest,simple,Magic Number,The method contains a magic number: 2,21
akarnokd-misc,hu.akarnokd.rxjava2,FlowableStringInputStreamTest,simple,Magic Number,The method contains a magic number: 2,21
akarnokd-misc,hu.akarnokd.rxjava2,FlowableStringInputStreamTest,simple,Magic Number,The method contains a magic number: 2,21
akarnokd-misc,hu.akarnokd.rxjava2,FlowableStringInputStreamTest,simple,Magic Number,The method contains a magic number: 3,21
akarnokd-misc,hu.akarnokd.rxjava2,FlowableStringInputStreamTest,simple,Magic Number,The method contains a magic number: 3,21
akarnokd-misc,hu.akarnokd.rxjava2,FlowableStringInputStreamTest,simple,Magic Number,The method contains a magic number: 9,21
akarnokd-misc,hu.akarnokd.rxjava2,FlowableStringInputStreamTest,simple,Magic Number,The method contains a magic number: 9,21
akarnokd-misc,hu.akarnokd.rxjava2,FlowableStringInputStreamTest,async,Long Statement,The length of the statement "Flowable<String> f=Flowable.range(100`10).map(Object::toString).doOnCancel(() -> calls.incrementAndGet()).subscribeOn(Schedulers.computation()).delay(10`TimeUnit.MILLISECONDS);" is 176.,115
akarnokd-misc,hu.akarnokd.rxjava2,FlowableStringInputStreamTest,async,Magic Number,The method contains a magic number: 10000,115
akarnokd-misc,hu.akarnokd.rxjava2,FlowableStringInputStreamTest,async,Magic Number,The method contains a magic number: 100,115
akarnokd-misc,hu.akarnokd.rxjava2,FlowableStringInputStreamTest,async,Magic Number,The method contains a magic number: 10,115
akarnokd-misc,hu.akarnokd.rxjava2,FlowableStringInputStreamTest,async,Magic Number,The method contains a magic number: 10,115
akarnokd-misc,hu.akarnokd.rxjava2,FlowableStringInputStreamTest,async,Magic Number,The method contains a magic number: 3,115
akarnokd-misc,hu.akarnokd.rxjava2,FlowableStringInputStreamTest,async,Magic Number,The method contains a magic number: 3,115
akarnokd-misc,hu.akarnokd.rxjava2,FlowableStringInputStreamTest,asyncCancel,Magic Number,The method contains a magic number: 10000,138
akarnokd-misc,hu.akarnokd.rxjava2,FlowableStringInputStreamTest,asyncCancel,Magic Number,The method contains a magic number: 500,138
akarnokd-misc,hu.akarnokd.rxjava2,FlowableStringInputStreamTest,interruptAsync,Empty catch clause,The method has an empty catch block.,153
akarnokd-misc,hu.akarnokd.rxjava2,FlowableStringInputStreamTest,interruptAsync,Magic Number,The method contains a magic number: 500,153
akarnokd-misc,hu.akarnokd.rxjava2,FlowableStringInputStreamTest,indexVerify,Empty catch clause,The method has an empty catch block.,175
akarnokd-misc,hu.akarnokd.rxjava2,FlowableStringInputStreamTest,indexVerify,Empty catch clause,The method has an empty catch block.,175
akarnokd-misc,hu.akarnokd.rxjava2,FlowableStringInputStreamTest,indexVerify,Empty catch clause,The method has an empty catch block.,175
akarnokd-misc,hu.akarnokd.rxjava2,FlowableStringInputStreamTest,indexVerify,Empty catch clause,The method has an empty catch block.,175
akarnokd-misc,hu.akarnokd.rxjava2,FlowableStringInputStreamTest,indexVerify,Magic Number,The method contains a magic number: 2,175
akarnokd-misc,hu.akarnokd.rxjava2,FlowableStringInputStreamTest,indexVerify,Magic Number,The method contains a magic number: 2,175
akarnokd-misc,hu.akarnokd.rxjava2,FlowableStringInputStreamTest,indexVerify,Magic Number,The method contains a magic number: 2,175
akarnokd-misc,hu.akarnokd.rxjava2,FlowableStringInputStreamTest,indexVerify,Magic Number,The method contains a magic number: 2,175
akarnokd-misc,hu.akarnokd.rxjava2,FlowableStringInputStreamTest,indexVerify,Magic Number,The method contains a magic number: 3,175
akarnokd-misc,hu.akarnokd.rxjava2,FlowableStringInputStreamTest,indexVerify,Magic Number,The method contains a magic number: 2,175
akarnokd-misc,hu.akarnokd.rxjava2,FlowableStringInputStreamTest,indexVerify,Magic Number,The method contains a magic number: 2,175
akarnokd-misc,hu.akarnokd.rxjava2,PublishExamples,test1,Long Statement,The length of the statement "Observable<Object> mixedSource=Observable.<Object>just("a"`1`"b"`2`"c"`3).doOnSubscribe(s -> System.out.println("Subscribed!"));" is 128.,9
akarnokd-misc,hu.akarnokd.rxjava2,PublishExamples,test1,Long Statement,The length of the statement "mixedSource.compose(f -> Observable.merge(f.ofType(Integer.class).compose(g -> g.map(v -> v + 1))`f.ofType(String.class).compose(g -> g.map(v -> v.toUpperCase())))).subscribe(System.out::println);" is 196.,9
akarnokd-misc,hu.akarnokd.rxjava2,PublishExamples,test1,Magic Number,The method contains a magic number: 2,9
