Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
akarnokd-misc,hu.akarnokd.rxjava3,OnErrorResumeNextInSequence,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava3,ParallelFromPublisher,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava3,ParallelFromPublisher.ParallelDispatcher,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava3,ParallelFromPublisher.ParallelDispatcher,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: serialVersionUID; rails; prefetch; limit; upstream; queue; done; error; cancel; cancelled; ready; index; consumed; sourceMode; serialVersionUID; parent; downstream; emitted
akarnokd-misc,hu.akarnokd.rxjava3,ParallelFromPublisher.RailSubscription,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: serialVersionUID; parent; downstream; emitted
akarnokd-misc,hu.akarnokd.rxjava3,ParallelFromPublisher.RailSubscription,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava3,UsingWhen,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava3,UsingWhen.UsingWhenParams,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: resource; onComplete; onError; onCancel
akarnokd-misc,hu.akarnokd.rxjava3,UsingWhen.UsingWhenParams,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava3,ConcatGroupTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava3,ConcatGroupTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: departmentId; name
akarnokd-misc,hu.akarnokd.rxjava3,ConcatGroupTest.Employee,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: departmentId; name
akarnokd-misc,hu.akarnokd.rxjava3,ConcatGroupTest.Employee,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava3,ConcatGroupTest.Employee,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: departmentId; name
akarnokd-misc,hu.akarnokd.rxjava3,ShareExample,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava3,ParallelFromBatchPublisher,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava3,ParallelFromBatchPublisher.ParallelDispatcher,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava3,ParallelFromBatchPublisher.ParallelDispatcher,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: serialVersionUID; rails; prefetch; limit; upstream; queue; done; error; cancel; cancelled; ready; consumed; sourceMode; serialVersionUID; parent; downstream; emitted
akarnokd-misc,hu.akarnokd.rxjava3,ParallelFromBatchPublisher.RailSubscription,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: serialVersionUID; parent; downstream; emitted
akarnokd-misc,hu.akarnokd.rxjava3,ParallelFromBatchPublisher.RailSubscription,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,SubjectRaceTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,BasicPrint2,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,PartialCollectTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,PartialCollectTest.PartialCollection,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,MergeCompletablesTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,LockstepObserveOnTest.LockstepObserveOn,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,LockstepObserveOnTest.LockstepObserveOn,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: source; scheduler; actual; worker; item; requested; wip; upstream; cancelled; done; error; emitted
akarnokd-misc,hu.akarnokd.rxjava2,LockstepObserveOnTest.LockstepObserveOnSubscriber,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,LockstepObserveOnTest.LockstepObserveOnSubscriber,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: actual; worker; item; requested; wip; upstream; cancelled; done; error; emitted
akarnokd-misc,hu.akarnokd.rxjava2,ListFlattening.User,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
akarnokd-misc,hu.akarnokd.rxjava2,ListFlattening.User,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,RepeatThread,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,CrossTypeBackpressure,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
akarnokd-misc,hu.akarnokd.rxjava2,CrossTypeBackpressure,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,ThrowsSubclass,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,ThrowsSubclass.F,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,BasicPrint,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,JavaCompilerBugTest.BrandBuilder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: bar
akarnokd-misc,hu.akarnokd.rxjava2,JavaCompilerBugTest.BrandBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,JavaCompilerBugTest.Brand,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: bar
akarnokd-misc,hu.akarnokd.rxjava2,JavaCompilerBugTest.Brand,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,CustomFlowableTest.CustomFlowable,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: subscriber
akarnokd-misc,hu.akarnokd.rxjava2,CustomFlowableTest.CustomFlowable,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,CustomFlowableTest.Listener,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: subscriber
akarnokd-misc,hu.akarnokd.rxjava2,CustomFlowableTest.Listener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,JoinPairwise.Pair,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: value
akarnokd-misc,hu.akarnokd.rxjava2,JoinPairwise.Pair,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,JoinPairwise.Left,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
akarnokd-misc,hu.akarnokd.rxjava2,JoinPairwise.Left,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,JoinPairwise.Right,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
akarnokd-misc,hu.akarnokd.rxjava2,JoinPairwise.Right,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,JoinPairwise.Both,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
akarnokd-misc,hu.akarnokd.rxjava2,JoinPairwise.Both,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,Issue5104,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,ParallelInterrupt,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,ObservableOnSubscribeTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,MyClass,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,ThrottleLastLeak,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,ThrottleLastTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,ThrottleLastTest.RequestObserveOn,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,ThrottleLastTest.RequestObserveOn,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: source; scheduler; serialVersionUID; actual; worker; requestOne; upstream; item; error; done; emitted; terminated
akarnokd-misc,hu.akarnokd.rxjava2,ThrottleLastTest.RequestObserveOnSubscriber,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,ThrottleLastTest.RequestObserveOnSubscriber,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: serialVersionUID; actual; worker; requestOne; upstream; item; error; done; emitted; terminated
akarnokd-misc,hu.akarnokd.rxjava2,SwitchFlatMapTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,ThrottleSampleTest.ThrottleFirstSampleObserver,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,ThrottleSampleTest.ThrottleFirstSampleObserver,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: serialVersionUID; TIMEOUT; actual; queue; worker; time; unit; upstream; latestMode; latest; done; error; disposed
akarnokd-misc,hu.akarnokd.rxjava2,RxJavaFuseTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,ObservableFromFuture,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,TestLazy,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,RetryWhenTimedTest.RetryWhenObservable,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: TAG; maxRetry; interval; retryCount
akarnokd-misc,hu.akarnokd.rxjava2,RetryWhenTimedTest.RetryWhenObservable,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,ParallelProducing,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,UnicastSingleTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,FlowableIfNonEmptyComposeTest,Multifaceted Abstraction,The tool detected the smell in this class because the cohesion among the methods of this class is low. LCOM of this class is: 0.8333333333333334
akarnokd-misc,hu.akarnokd.rxjava2,FlowableIfNonEmptyComposeTest.ComposeIfNotEmptySubscriber,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,FlowableIfNonEmptyComposeTest.ComposeIfNotEmptySubscriber,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: outputMonoSubscriber; transformer; queue; transformProducer; transformConsumer; TERMINATED; prefetch; wip; upstream; done; error; cancelled; consumed; emitted; nonEmpty; serialVersionUID; transformSubscriber; parent; cancelled; serialVersionUID; parent
akarnokd-misc,hu.akarnokd.rxjava2,FlowableIfNonEmptyComposeTest.TransformSubscription,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: serialVersionUID; transformSubscriber; parent; cancelled
akarnokd-misc,hu.akarnokd.rxjava2,FlowableIfNonEmptyComposeTest.TransformSubscription,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,FlowableIfNonEmptyComposeTest.TransformConsumer,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: serialVersionUID; parent
akarnokd-misc,hu.akarnokd.rxjava2,FlowableIfNonEmptyComposeTest.TransformConsumer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,MaybeConcatTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,FromIterableFlatMap.Result,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
akarnokd-misc,hu.akarnokd.rxjava2,FromIterableFlatMap.Result,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,FlatMapFatal,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,ListGrouping.Group,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: grouped; groupKey
akarnokd-misc,hu.akarnokd.rxjava2,ListGrouping.Group,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,UncaughtCrash,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,ConnectConnect,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,RightThread,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,LineByLine.State,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: inputStream; count; i
akarnokd-misc,hu.akarnokd.rxjava2,LineByLine.State,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,Loading,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,ItemTestSO.ItemTest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: i
akarnokd-misc,hu.akarnokd.rxjava2,ItemTestSO.ItemTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,MapThrowsNull,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,SubjectShareTest.Request,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
akarnokd-misc,hu.akarnokd.rxjava2,SubjectShareTest.Request,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,RxJava2Test,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,MonoPublishTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,SomeAsyncApiBridgeTest.AsyncRange,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: max; index
akarnokd-misc,hu.akarnokd.rxjava2,SomeAsyncApiBridgeTest.AsyncRange,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,SwitchFallback,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,WindowDisposed,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,ConcurrentSingleCache.Entity,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
akarnokd-misc,hu.akarnokd.rxjava2,ConcurrentSingleCache.Entity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,IntDeferredReducerCore,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,FlowVsRS,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
akarnokd-misc,hu.akarnokd.rxjava2,FlowVsRS.FlowPublisher,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
